,,comp_name,"Cryptoxanthin, beta",Sucrose,Glucose (dextrose),Fructose,Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,4:0,6:0,8:0,"20:2 n-6 c,c","18:2 n-6 c,c","18:3 n-3 c,c,c (ALA)",Vitamin E (alpha-tocopherol),"Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, gamma",Thiamin,Niacin,Vitamin B-6,"Choline, total",Betaine,Stigmasterol,Beta-sitosterol,Daidzein,Genistein,Glycitein,(+)-Catechin,(-)-Epicatechin,Apigenin,Luteolin
"Elderberries, raw",Fruits and Fruit Juices,,0,0,0,0,0.013,0.027,0.027,0.06,0.026,0.014,0.015,0.04,0.051,0.033,0.047,0.015,0.03,0.058,0.096,0.036,0.025,0.032,0,0,0,0,0,0,0,0,0,0,0,7.00E-05,0.0005,0.00023,0,0,0,0,0,0,0,0,0,0,0
"Gooseberries, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,4.00E-05,0.0003,8.00E-05,0,0,0,0,0,0,0,0.00167,0,0,0
"Oheloberries, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70E-05,0.00027,0,0,0,0,0,0,0,0,0,0,0,0
"Cloudberries, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0008,0,0
"Apples, Gala, raw, with skin",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139,0.00604,0,0
"Apples, Fuji, raw, with skin",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.00555,0,1.00E-05
"Cashew apple, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prickly pears, raw",Fruits and Fruit Juices,,3.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E-05,0.00046,6.00E-05,0,0,0,0,0,0,0,0,0,0,0
"Sapote, mamey, raw",Fruits and Fruit Juices,,7.00E-06,4.09,8.01,7.66,0.049,0.085,0.061,0.073,0.073,0.024,0.012,0.061,0.049,0.073,0.049,0.049,0.073,0.147,0.147,0.073,0.085,0.195,0,0,0,0,0,0.011,0.082,0.00211,0,0.00036,0,1.30E-05,0.001432,0.00072,0,0,0,0,0,0,0,0,0,0,0
"Currants, red, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127,8.00E-05,0,0
"Melons, galia, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guavas, common, raw",Fruits and Fruit Juices,,0,0,0,0,0.022,0.096,0.093,0.171,0.072,0.016,0,0.006,0.031,0.087,0.065,0.022,0.128,0.162,0.333,0.128,0.078,0.075,0,0,0,0,0,0,0,0.00073,0,0,0,6.70E-05,0.001084,0.00011,0.0076,0,0,0,0,0,0,0.00032,0.00443,0,0
"Melons, casaba, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0,0,0,1.50E-05,0.000232,0.000163,0.0076,0,0,0,0,0,0,0,1.00E-05,0,0
"Cherries, sweet, raw",Fruits and Fruit Juices,,0,0.15,6.59,5.37,0.009,0.022,0.02,0.03,0.032,0.01,0.01,0.024,0.014,0.024,0.018,0.015,0.026,0.569,0.083,0.023,0.039,0.03,0,0,0,0,0,0,0,7.00E-05,0,3.00E-05,0,2.70E-05,0.000154,4.90E-05,0.0061,0,0,0,0,0,0,0.00436,0.005,0,0
"Peaches, yellow, raw",Fruits and Fruit Juices,,6.70E-05,4.76,1.95,1.53,0.01,0.016,0.017,0.027,0.03,0.01,0.012,0.019,0.014,0.022,0.018,0.013,0.028,0.418,0.056,0.021,0.018,0.032,0,0,0,0,0,0,0,0.00073,0,3.00E-05,0,2.40E-05,0.000806,2.50E-05,0.0061,0.0003,0,0,0,0,0,0,0,0,0
"Kiwifruit, gold, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064,0,0
"Currants, white, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0
"Grapes, Concord, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214,0,0
"Kiwifruit, green, raw",Fruits and Fruit Juices,,0,0.15,4.11,4.35,0.015,0.047,0.051,0.066,0.061,0.024,0.031,0.044,0.034,0.057,0.081,0.027,0.053,0.126,0.184,0.06,0.044,0.053,0,0,0,0,0,0,0,0.00146,0,0,0.0001,2.70E-05,0.000341,6.30E-05,0.0078,0.0005,0,0,0,0,0,0,0.00027,0,0.00074
"Melons, honeydew, raw",Fruits and Fruit Juices,,0,2.48,2.68,2.96,0.005,0.013,0.013,0.016,0.018,0.005,0.005,0.015,0.01,0.018,0.014,0.005,0.044,0.088,0.153,0.016,0.012,0.023,0,0,0,0,0,0,0,2.00E-05,0,0,0,3.80E-05,0.000418,8.80E-05,0.0076,0,0,0,0,0,0,0,1.00E-05,0,0
"Plums, Greengage, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plum, red, whole, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,1.00E-05
"Grapes, muscadine, raw",Fruits and Fruit Juices,,1.00E-06,0.57,3.67,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melons, cantaloupe, raw",Fruits and Fruit Juices,,1.00E-06,4.35,1.54,1.87,0.002,0.017,0.021,0.029,0.03,0.012,0.002,0.023,0.014,0.033,0.029,0.015,0.095,0.136,0.209,0.026,0.019,0.042,0,0,0,0,0,0,0,5.00E-05,0,0,0,4.10E-05,0.000734,7.20E-05,0.0076,0.0001,0,0,0,0,0,0,0,0,0.00064
"Persimmons, native, raw",Fruits and Fruit Juices,,0,0,0,0,0.014,0.041,0.035,0.058,0.045,0.007,0.018,0.036,0.023,0.042,0.034,0.016,0.039,0.079,0.104,0.035,0.031,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pears without skin, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0.00174,0,0
"Cherries, sour, red, raw",Fruits and Fruit Juices,,0,0.8,4.18,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E-05,0,0,0,3.00E-05,0.0004,4.40E-05,0.0061,0,0,0,0,0,0,0.0003,0.00383,0,0
"Persimmons, japanese, raw",Fruits and Fruit Juices,,0.001447,1.54,5.44,5.56,0.01,0.03,0.025,0.042,0.033,0.005,0.013,0.026,0.016,0.03,0.025,0.012,0.029,0.057,0.076,0.025,0.022,0.022,0,0,0,0,0,0,0,0.00073,0,0,0,3.00E-05,0.0001,0.0001,0.0076,0,0,0,0,0,0,0.00063,0,0,0.00014
"Mammy-apple, (mamey), raw",Fruits and Fruit Juices,,0,0,0,0,0.005,0,0,0,0.037,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0.0004,0.0001,0,0,0,0,0,0,0,0,0,0,0
"Apples, Granny Smith, raw, with skin",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187,0.00711,0,0
"Carissa, (natal-plum), raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-05,0.0002,0,0,0,0,0,0,0,0,0,0,0,0
"Java-plum, (jambolan), raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-06,0.00026,3.80E-05,0,0,0,0,0,0,0,0,0,0,0
"Apples, Red Delicious, raw. with skin",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.00983,0,1.00E-05
"Peaches, white, whole, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01225,0.00409,0,0
"Apples, Red Delicious, raw, without skin",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.00409,0,1.00E-05
"Carambola, (starfruit), raw",Fruits and Fruit Juices,,0,0,0,0,0.008,0.044,0.044,0.077,0.077,0.021,0,0.037,0.044,0.05,0.021,0.008,0.071,0.098,0.148,0.05,0.05,0.083,0,0,0,0,0,0,0,0.00015,0,0,0,1.40E-05,0.000367,1.70E-05,0.0076,0,0,0,0,0,0,0,0,0,0
"Grapes, white or green, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373,0.0017,0,0
"Cranberry bush berries, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02904,0.00269,0,0
"Blueberries, rabbiteye, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09847,0.02566,0,0
"Currants, red and white, raw",Fruits and Fruit Juices,,0,0.61,3.22,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,4.00E-05,0.0001,7.00E-05,0.0076,0,0,0,0,0,0,0.00078,4.00E-05,0,0
"Sugar-apples, (sweetsop), raw",Fruits and Fruit Juices,,0,0,0,0,0.01,0,0,0,0.055,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0.000883,0.0002,0,0,0,0,0,0,0,0,0,0,0
"Currants, european black, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,5.00E-05,0.0003,6.60E-05,0,0,0,0,1.67E-05,6.00E-05,0,0.0007,0.00047,0,0
"Apples, Golden Delicious, raw, without skin",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277,0.00627,0,0
"Apples, Golden Delicious, raw, with skin",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059,0.00551,0,0
"Nectarines, white, whole, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00758,0.00306,0,0
"Kiwifruit, ZESPRI SunGold, raw",Fruits and Fruit Juices,,0,1.22,5.28,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0.058,0.043,0.0014,0,0,0,0,0.000231,7.90E-05,0.0019,0,0,0,0,0,0,0,0,0,0
"Pitanga, (surinam-cherry), raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0.0003,0,0,0,0,0,0,0,0,0,0,0,0
"Lingonberries (cowberries), raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jabuticaba (Brazilian grape), raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acerola, (west indian cherry), raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0.0004,9.00E-06,0,0,0,0,0,0,0,0,0,0,0
"Tangerines, (mandarin oranges), raw",Fruits and Fruit Juices,,0.000407,6.05,2.13,2.4,0.002,0.016,0.017,0.028,0.032,0.002,0.002,0.018,0.015,0.021,0.068,0.011,0.028,0.129,0.061,0.019,0.074,0.033,0,0,0,0,0,0,0,0.0002,0,5.00E-05,0,5.80E-05,0.000376,7.80E-05,0.0102,0.0001,0,0,0,0,0,0,0,0,0
"Custard-apple, (bullock's-heart), raw",Fruits and Fruit Juices,,0,0,0,0,0.007,0,0,0,0.037,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-05,0.0005,0.000221,0,0,0,0,0,0,0,0.00058,0.00563,0,0
"Grapes, american type (slip skin), raw",Fruits and Fruit Juices,,0,0,0,0,0.003,0.017,0.005,0.013,0.014,0.021,0.01,0.013,0.011,0.017,0.046,0.023,0.026,0.077,0.131,0.019,0.021,0.03,0,0,0,0,0,0,0,0.00019,0,0,0,9.20E-05,0.0003,0.00011,0.0056,0,0,0,0,0,0,0.00359,0.00163,0,0
"Blueberries, cultivated (highbush), raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529,0.00062,0,0.0002
"Passion-fruit, (granadilla), purple, raw",Fruits and Fruit Juices,,4.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,0,0.0015,0.0001,0.0076,0,0,0,1.00E-05,1.00E-05,0,0.00261,0.00253,0,0
"Kiwi fruit, (chinese gooseberries), fresh, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groundcherries, (cape-gooseberries or poha), raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0.0028,0,0,0,0,0,0,0,0,0,0,0,0
"Grapes, red or green (European type, such as Thompson seedless), raw",Fruits and Fruit Juices,,0,0.15,7.2,8.13,0.011,0.022,0.011,0.022,0.027,0.009,0.01,0.019,0.01,0.022,0.13,0.022,0.022,0.038,0.081,0.016,0.08,0.022,0,0,0,0,0,0,0,0.00019,0,0,0,6.90E-05,0.000188,8.60E-05,0.0056,0.0001,0,0,0,0,0,0.00228,0.00133,0,0.00065
"Dates, deglet noor",Fruits and Fruit Juices,,0,23.84,19.87,19.56,0.012,0.043,0.049,0.084,0.066,0.022,0.067,0.05,0.015,0.071,0.136,0.032,0.083,0.213,0.359,0.101,0.13,0.057,0,0,0,0.001,0,0,0,5.00E-05,0,1.00E-05,0,5.20E-05,0.001274,0.000165,0.0063,0.0004,0,0,0,5.00E-06,0,0,0,0,0
"Loganberries, frozen",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0,0,0,5.00E-05,0.00084,6.50E-05,0.0085,0,0,0,0,0,0,0.00142,0.0038,0,0
"Rhubarb, frozen, uncooked",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,3.10E-05,0.000203,2.50E-05,0.0061,0,0,0,0,0,0,0.00139,0.00033,0,0
"Dates, medjool",Fruits and Fruit Juices,,0,0.53,33.68,31.95,0.007,0.042,0.045,0.082,0.054,0.017,0.046,0.048,0.016,0.066,0.06,0.029,0.078,0.22,0.265,0.09,0.111,0.062,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0.00161,0.000249,0.0099,0.0004,0,0,0,0,0,0,0,0,0
"Blueberries, wild, frozen",Fruits and Fruit Juices,,0,0,3.33,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0,3.00E-05,0.00061,2.00E-05,0,0,0,0,0,0,0,0,0,0,0
"Melon balls, frozen",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166,0.00064,0.000106,0,0,0,0,0,0,0,0,0,0,0
"Raisins, seeded",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112,0.001114,0.000188,0,0,0,0,0,0,0,0,0,0,0
Horned melon (Kiwano),Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0.000565,6.30E-05,0,0,0,0,0,0,0,0,0,0,0
"Grapes, black",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01014,0.00868,0,0
Medlar,Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0.00053,0,0
Arctic bramble berries,Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0.0018,0,0
"Cider, apple (European)",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195,0.00032,0,0
"Raspberries, red, frozen",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,2.00E-05
"Guava, red-fleshed",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guava, white-fleshed",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juniper berries, ripe",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00557,0.06905
"Lentils, raw",Legumes and Legume Products,,0,1.47,0,0.27,0.221,0.882,1.065,1.786,1.72,0.21,0.322,1.215,0.658,1.223,1.903,0.693,1.029,2.725,3.819,1.002,1.029,1.136,0,0,0,0,0,0,0,0.00049,0,0,0,0.000873,0.002605,0.00054,0.0964,0,0,0,0,0,0,0.00035,0,0,0.0033
"Beans, common, raw (Phaseolus vulgaris)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287276,0.000297917,3.33E-06,0,0,0,0
"Peanuts, spanish, raw",Legumes and Legume Products,,0,0,0,0,0.254,0.896,0.92,1.696,0.939,0.321,0.335,1.356,1.063,1.097,3.128,0.661,1.039,3.19,5.465,1.576,1.154,1.289,0,0,0,0.036,0,0,0,0,0,0,0,0.000675,0.015925,0.000348,0,0,0,0,0,0,0,0,0,0,0
"Peanuts, virginia, raw",Legumes and Legume Products,,0,0,0,0,0.245,0.863,0.886,1.633,0.904,0.309,0.323,1.306,1.024,1.057,3.013,0.637,1.001,3.073,5.265,1.518,1.112,1.241,0,0,0,0.039,0,0,0,0.00656,0,0,0,0.000653,0.012375,0.000346,0,0,0,0,0,0,0,0,0,0,0
"Peanuts, valencia, raw",Legumes and Legume Products,,0,0,0,0,0.244,0.859,0.882,1.627,0.901,0.308,0.322,1.3,1.02,1.052,3.001,0.634,0.997,3.06,5.243,1.512,1.107,1.236,0,0,0,0,0,0,0,0,0,0,0,0.000639,0.012875,0.00034,0,0,0,0,0,0,0,0,0,0,0
"Lentils, red/pink, raw",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peanuts, all types, raw",Legumes and Legume Products,,0,0,0,0,0.25,0.883,0.907,1.672,0.926,0.317,0.331,1.377,1.049,1.082,3.085,0.652,1.025,3.146,5.39,1.554,1.138,1.271,0,0,0,0,0,0,0,0.00833,0,0,0,0.00064,0.012066,0.000348,0.0525,0.0006,0,0,2.06E-05,0.000244889,0,0,0,0,0
"Lupins, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.289,1.331,1.615,2.743,1.933,0.255,0.446,1.435,1.36,1.51,3.877,1.03,1.296,3.877,8.686,1.539,1.476,1.869,0,0,0,0,0,0,0,0,0,0,0,0.00064,0.00219,0.000357,0,0,0,0,0.0001,0.000145,0,0,0,0,0
"Lentils, pink or red, raw",Legumes and Legume Products,,0,0,0,0,0.223,0.895,1.078,1.809,1.74,0.212,0.327,1.23,0.667,1.238,1.928,0.702,1.042,2.758,3.868,1.014,1.042,1.15,0,0,0,0,0,0,0,0,0,0,0,0.00051,0.001495,0.000403,0,0,0.004,0.047,0,0,0,0,0,0,0
"Soybeans, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.591,1.766,1.971,3.309,2.706,0.547,0.655,2.122,1.539,2.029,3.153,1.097,1.915,5.112,7.874,1.88,2.379,2.357,0,0,0,0,0,0,0,0.00085,0,0,0,0.000874,0.001623,0.000377,0.1159,0.0021,0,0,0,0,0,0,0,0,0
"Soybeans, mature seeds, raw (all sources)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062904252,0.081353975,0.015285927,0,0,0,0
"Soybeans, mature seeds, raw (Brazil)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02908931,0.067566845,0.013095714,0,0,0,0
"Soybeans, mature seeds, raw (Taiwan)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041323226,0.055090323,0,0,0,0,0
"Soybeans, mature seeds, raw (Japan)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045951429,0.074325577,0.009010833,0,0,0,0
"Soybeans, mature seeds, raw (Korea)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078859682,0.089317803,0.018763933,0,0,0,0
"Soybeans, mature seeds, raw (China)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053375455,0.057983182,0.011705385,0,0,0,0
"Soybeans, mature seeds, raw (Australia)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039876842,0.065644211,0.017122941,0,0,0,0
"Soybeans, mature seeds, raw (Europe)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04544187,0.039775966,0.0223725,0,0,0,0
"Soybeans, mature seeds, raw (United States)",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06132662,0.086326041,0.013333281,0,0,0,0
